TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
200700A,561600,Investigation & security services,508,$337591481.55
201500A,611000,"Educational services (including schools, colleges, & universities)",3986,$757584968.75
201400A,448110,Men's clothing stores,435,$136914456.00
201400A,333000,Machinery mfg.,159,$59822627.00
201100A,531100,Lessors of real estate (including mini warehouses & self-storage units),33183,$10881057534.69
201500A,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",656,$160255325.00
201100A,425110,Business to business electronic markets,52,$9135590.00
201600A,311800,Bakeries & tortilla mfg.,635,$151319015.00
201400A,234110,Highway and Street Construction (1997 NAICS),48,$194175746.00
201100A,444190,Other building materials dealers,369,$853770161.00
201300A,622000,Hospitals,212,$1144155005.00
201300A,713200,Gambling industries,12,$12933387.00
201700A,445100,Grocery stores (including supermarkets & convenience stores without gas),16,$344735.00
200800A,541214,Payroll services,48,$5238471.00
200500A,541219,Other accounting services,1917,$625521564.69
201300A,523130,Commodity contracts dealers,50,$10263230.00
201400A,339900,Other miscellaneous mfg.,2174,$802576926.59
200900A,532310,General rental centers,46,$30771461.00
201300A,323100,Printing & related support activities,1074,$408033537.24
201700A,621399,Offices of all other miscellaneous health practitioners,144,$8841444.00
201100A,445100,Grocery stores (including supermarkets & convenience stores without gas),1465,$5138878930.00
200800A,423300,Lumber & other construction materials,274,$801671903.00
201300A,445290,Home furnishings stores,640,$397203292.00
201700A,446110,Pharmacies & drug stores,15,$9382054.00
201200A,424910,Farm supplies,16,$14497614.00
201700A,519100,Other information services (including news syndicates and libraries),45,$1343208.00
200700A,339110,Medical equipment & supplies mfg.,196,$90115452.54
200800A,621111,Offices of physicians (except mental health specialists),4351,$2540209737.37
201300A,561450,Credit bureaus,24,$6040739.00
200600A,561740,Carpet & upholstery cleaning services,338,$27207979.00
200500A,531320,Offices of real estate appraisers,52,$5138485.00
201700A,541320,Landscape architecture services,31,$4877024.00
201100A,453310,Used merchandise stores,215,$31325884.00
200800A,621610,Home health care services,1084,$166464727.00
201100A,423800,"Machinery, equipment, & supplies",799,$813492200.07
200900A,541930,Translation & interpretation services,159,$11687192.00
201600A,531320,Offices of real estate appraisers,165,$12811036.00
200900A,238340,Tile & terrazzo contractors,248,$56334258.00
200500A,424600,Chemical & allied products,211,$618671530.15
201500A,513322,Cellular and Other Wireless Telecommunications,42,$719473609.00
201300A,711510,"Independent artists, writers, & performers",14989,$1630813107.52
201000A,624410,Child day care services,1620,$122825835.69
201000A,812210,Funeral homes & funeral services,54,$23008938.00
201100A,621900,"Other ambulatory health care services (including ambulance services, blood, & organ banks)",254,$1695279223.00
200900A,311400,Fruit & vegetable preserving & speciality food mfg.,126,$91213677.00
201100A,541370,Surveying & mapping (except geophysical) services,46,$7487803.00
200800A,621340,"Offices of physical, occupational & speech therapists, & audiologists",407,$29311136.44
200900A,235510,Carpentry Contractors (1997 NAICS),481,$173994215.00
200900A,115210,Support activities for animal production (including farriers),208,$19180375.00
201000A,621391,Offices of podiatrists,96,$19851517.00
201200A,541380,Testing laboratories,73,$28141974.00
201600A,445210,Meat markets,181,$164100975.00
201100A,722410,Drinking places (alcoholic beverages),225,$52814601.00
201500A,561710,Exterminating & pest control services,267,$83174406.00
201400A,424100,Paper & paper products,240,$275950835.00
201200A,485300,Taxi & limousine service,925,$3001399.00
201300A,561490,"Other business support services (including repossession services, court reporting, & stenotype services)",870,$204738255.42
200600A,519100,Other information services (including news syndicates and libraries),165,$123235693.00
200600A,445230,Fruit & vegetable markets,394,$973924449.00
200600A,811410,Home & garden equipment & appliance repair & maintenance,109,$4916324.00
201000A,523120,Securities brokers,113,$687422219.00
201700A,561300,Employment services,184,$10942515.00
201600A,485510,Charter bus industry,62,$32182519.00
200600A,234120,Bridge and Tunnel Construction (1997 NAICS),72,$24349221.00
200800A,541213,Tax preparation services,798,$162560463.80
201600A,523120,Securities brokers,151,$696057570.00
201600A,235420,"Drywall, Plastering, Acoustical, and Insulation Contractors (1997 NAICS)",538,$340580902.74
200900A,541320,Landscape architecture services,778,$173625500.00
201500A,444200,Lawn & garden equipment & supplies stores,138,$40253580.00
201300A,487000,Scenic & sightseeing transportation,208,$21322499.00
201100A,811190,Other automotive repair & maintenance (including oil change & lubrication shops & car washes),660,$87820762.00
200600A,541219,Other accounting services,2074,$597620199.49
201500A,561420,Telephone call centers (including telephone answering services & telemarketing bureaus),129,$140132611.00
201400A,454113,Mail-order houses,69,$36355944.00
201500A,532230,Video tape & disc rental,249,$22117633.00
200800A,444120,Paint & wallpaper stores,74,$27169718.00
201600A,811190,Other automotive repair & maintenance (including oil change & lubrication shops & car washes),1139,$204339094.00
200800A,541990,"All other professional, scientific, & technical services",4680,$586925206.35
201400A,812930,Parking lots & garages,1750,$474209201.00
201100A,561490,"Other business support services (including repossession services, court reporting, & stenotype services)",727,$172001811.65
201600A,485410,School & employee bus transportation,21,$13595.00
200800A,451120,"Hobby, toy, & game stores",161,$95875991.00
200800A,541700,Scientific research & development services,123,$20017769.00
201000A,561900,"Other support services (including packaging & labeling services, & convention & trade show organizers)",159,$24313228.00
201100A,441222,Boat dealers,38,$1286840.00
200600A,448140,Family clothing stores,453,$347353035.31
201400A,532230,Video tape & disc rental,251,$23514435.00
200700A,541340,Drafting services,72,$1705841.71
201200A,235410,Masonry and Stone Contractors (1997 NAICS),80,$15209921.34
201100A,517000,Telecommunications,189,$1255130498.00
200600A,453220,"Gift, novelty, & souvenir stores",714,$133477116.00
200800A,811110,Automotive mechanical & electrical repair & maintenance,925,$95586840.00
200800A,811490,Other personal &  household goods repair & maintenance,748,$24744468.00
200900A,211110,Oil & gas extraction,63,$189168621.00
200900A,541370,Surveying & mapping (except geophysical) services,43,$7727151.00
201300A,325900,Other chemical products & preparation mfg.,128,$49432112.60
201500A,721310,Rooming & boarding houses,319,$337955505.00
200800A,561410,Document preparation services,90,$10284276.00
201600A,711300,"Promoters of performing arts, sports, & similar events",2237,$1567755219.36
201500A,448120,Women's clothing stores,1033,$302413041.23
201400A,888888,Medical Marijuana Collective,602,$72745168.00
201200A,441221,Motorcycle dealers,45,$23672109.00
201700A,442110,Furniture stores,14,$1167963.00
200800A,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",806,$324208334.62
200900A,424910,Farm supplies,15,$12618493.00
200600A,812930,Parking lots & garages,810,$280607981.00
201400A,235310,Electrical Contractors (1997 NAICS),2722,$658171449.67
201700A,511000,Publishing industries (except Internet),18,$3729855.00
201600A,446110,Pharmacies & drug stores,579,$3991651588.00
200600A,446130,Optical goods stores,165,$117367091.00
200800A,441120,Used car dealers,251,$110796477.00
201000A,453220,"Gift, novelty, & souvenir stores",980,$138357628.03
201700A,443111,Household appliance stores,10,$3481001.00
200500A,448130,Children's & infants' clothing stores,89,$19939178.00
201200A,451220,"Prerecorded tape, compact disc, & record stores",285,$35341657.00
201200A,561440,Collection agencies,116,$52770212.00
200800A,888888,Medical Marijuana Collective,208,$21150556.00
200800A,621320,Offices of optometrists,124,$40722913.00
201700A,561740,Carpet & upholstery cleaning services,8,$550293.00
201100A,444130,Hardware stores,444,$618619645.95
200500A,235210,Painting and Wall Covering Contractors (1997 NAICS),1523,$379531269.78
200800A,812113,Nail salons,1592,$53957790.00
201300A,812920,Photofinishing,142,$11844990.00
201300A,441300,"Automotive parts, accessories, & tire stores",998,$227194561.29
201400A,444120,Paint & wallpaper stores,85,$32724440.00
201000A,561600,Investigation & security services,690,$389454010.00
201700A,812113,Nail salons,61,$1718918.00
201700A,561490,"Other business support services (including repossession services, court reporting, & stenotype services)",40,$1226468.00
201300A,711210,Spectator sports (including professional sports clubs & racetrack operations),523,$575755499.00
201200A,531320,Offices of real estate appraisers,129,$8223497.00
201500A,492000,Couriers & messengers,1722,$93244909.99
201500A,423990,Other miscellaneous durable goods,2672,$1123631150.11
200700A,812330,Linen & uniform supply,25,$103921205.00
200500A,311400,Fruit & vegetable preserving & speciality food mfg.,17,$26324748.00
200700A,311300,Sugar & confectionery product mfg.,20,$196417.00
201300A,522100,"Depository credit intermediation (including commercial banking, savings institutions, & credit unions)",76,$39185313.07
201400A,233310,Manufacturing and Industrial Building Construction (1997 NAICS),187,$334778576.00
201300A,812113,Nail salons,2167,$89015728.73
201400A,238290,Other building equipment contractors,433,$338526152.00
200900A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",356,$127993771.00
201300A,235420,"Drywall, Plastering, Acoustical, and Insulation Contractors (1997 NAICS)",527,$209022443.70
201600A,337000,Furniture & related product mfg.,422,$237589478.73
201100A,423700,"Hardware, & plumbing & heating equipment  & supplies",199,$306066086.46
201300A,448110,Men's clothing stores,407,$117710426.00
200600A,115310,Support activities for forestry,70,$2628238.00
200800A,423920,Toy & hobby goods & supplies,196,$124066831.00
200600A,811490,Other personal &  household goods repair & maintenance,506,$16366524.00
201400A,561500,Travel arrangement & reservation services,5832,$821623118.87
200900A,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",571,$1014175452.00
201100A,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",3846,$310904652.91
201400A,424500,Farm product raw materials,52,$116224465.00
201200A,235910,Structural Steel Erection Contractors (1997 NAICS),116,$157065090.00
200800A,235210,Painting and Wall Covering Contractors (1997 NAICS),1733,$510781719.00
200600A,561410,Document preparation services,45,$6538010.20
200900A,441222,Boat dealers,34,$10036509.00
201500A,453910,Pet & pet supplies stores,248,$98287118.22
201500A,624200,"Community food & housing, & emergency & other relief services",160,$12521891.00
200800A,444200,Lawn & garden equipment & supplies stores,90,$28100856.00
201600A,423930,Recyclable materials,348,$259024568.00
200500A,812910,Pet care (except veterinary) services,50,$7894111.00
201100A,451110,Sporting goods stores,298,$155467347.00
201500A,451211,Book stores,497,$112190627.00
201200A,424990,Other miscellaneous nondurable goods,3248,$1632251393.91
200500A,561420,Telephone call centers (including telephone answering services & telemarketing bureaus),31,$62994902.00
200800A,424930,"Flower, nursery stock, & florists' supplies",297,$248475481.00
200500A,453210,Office supplies & stationery stores,192,$320940600.16
201400A,423940,"Jewelry, watch, precious stone, & precious metals",2584,$1119753075.73
201400A,722211,Limited-service eating places,1627,$632378913.16
